,num_nodes,p,dim,burnt_nodes,instance,lambda_d,D,T,algorithm,infeasible,runtime,not_interrupted,objective,is_upper_bound,D_max,defended_seq,distances
0,40,0.0625,3,3,0,2,4,1,moving,False,0.503865003585815,True,10,False,4,"[[40, 0, 0], [8, 1, 0], [8, 1, 1], [2, 1, 2], [2, 1, 3]]",[0.8718059982561587]
1,40,0.0625,3,3,0,2,4,2,moving,False,69.9389629364014,True,19,False,4,"[[40, 0, 0], [8, 1, 0], [2, 1, 1], [2, 1, 2], [2, 1, 3], [30, 2, 0], [30, 2, 1], [30, 2, 2], [36, 2, 3]]","[0.8718059982561587, 1.9874688062760746]"
2,40,0.0625,3,3,0,2,4,3,moving,False,336.753483057022,True,22,False,4,"[[40, 0, 0], [40, 1, 0], [30, 1, 1], [36, 1, 2], [36, 1, 3], [37, 2, 0], [35, 2, 1], [35, 2, 2], [35, 2, 3], [3, 3, 0], [3, 3, 1], [3, 3, 2], [3, 3, 3]]","[0.9464145860194901, 1.861238727915242, 2.5937373956022967]"
3,40,0.0625,3,3,0,2,4,4,moving,False,2275.21514511108,True,24,False,4,"[[40, 0, 0], [30, 1, 0], [30, 1, 1], [36, 1, 2], [36, 1, 3], [37, 2, 0], [37, 2, 1], [37, 2, 2], [35, 2, 3], [35, 3, 0], [13, 3, 1], [13, 3, 2], [13, 3, 3], [22, 4, 0], [16, 4, 1], [16, 4, 2], [16, 4, 3]]","[0.9464145860194901, 1.861238727915242, 2.8778347967008693, 3.8964427400481183]"
4,40,0.0625,3,3,0,2,4,5,moving,False,3637.07915210724,True,24,True,4,"[[40, 0, 0], [40, 1, 0], [40, 1, 1], [40, 1, 2], [30, 1, 3], [36, 2, 0], [37, 2, 1], [35, 2, 2], [35, 2, 3], [13, 3, 0], [13, 3, 1], [13, 3, 2], [13, 3, 3], [22, 4, 0], [22, 4, 1], [16, 4, 2], [16, 4, 3], [16, 5, 0], [16, 5, 1], [16, 5, 2], [31, 5, 3]]","[0.724867243837607, 1.861238727915242, 2.8778347967008693, 3.8964427400481183, 4.7566640807514275]"
5,40,0.0625,3,3,0,7,2,1,moving,False,0.002177953720093,True,11,False,2,"[[40, 0, 0], [40, 1, 0], [40, 1, 1]]",[0.0]
6,40,0.0625,3,3,0,7,2,2,moving,False,0.018242835998535,True,22,False,2,"[[40, 0, 0], [40, 1, 0], [40, 1, 1], [40, 2, 0], [8, 2, 1]]","[0.0, 1.2098313546451895]"
7,40,0.0625,3,3,0,7,2,3,moving,False,0.092060089111328,True,30,False,2,"[[40, 0, 0], [40, 1, 0], [40, 1, 1], [8, 2, 0], [8, 2, 1], [8, 3, 0], [8, 3, 1]]","[0.0, 1.2098313546451762, 1.2098313546451762]"
8,40,0.0625,3,3,0,7,2,4,moving,False,0.482617139816284,True,36,False,2,"[[40, 0, 0], [40, 1, 0], [40, 1, 1], [8, 2, 0], [8, 2, 1], [8, 3, 0], [14, 3, 1], [14, 4, 0], [14, 4, 1]]","[0.0, 1.209831354645173, 2.9769831662402497, 2.9769831662402497]"
9,40,0.0625,3,3,0,7,2,5,moving,False,2.48513007164001,True,37,True,2,"[[40, 0, 0], [40, 1, 0], [40, 1, 1], [8, 2, 0], [8, 2, 1], [8, 3, 0], [14, 3, 1], [14, 4, 0], [14, 4, 1], [14, 5, 0], [14, 5, 1]]","[0.0, 1.209831354645173, 2.9769831662402515, 2.9769831662402515, 2.9769831662402515]"
10,40,0.0625,3,3,1,2,4,1,moving,False,0.151377201080322,True,10,False,4,"[[40, 0, 0], [40, 1, 0], [40, 1, 1], [40, 1, 2], [7, 1, 3]]",[0.2897834866997372]
11,40,0.0625,3,3,1,2,4,2,moving,False,32.4450089931488,True,17,False,4,"[[40, 0, 0], [40, 1, 0], [40, 1, 1], [40, 1, 2], [40, 1, 3], [38, 2, 0], [38, 2, 1], [0, 2, 2], [39, 2, 3]]","[0.0, 1.9510716716468808]"
12,40,0.0625,3,3,1,2,4,3,moving,False,98.8045060634613,True,21,False,4,"[[40, 0, 0], [40, 1, 0], [40, 1, 1], [40, 1, 2], [40, 1, 3], [16, 2, 0], [32, 2, 1], [2, 2, 2], [2, 2, 3], [12, 3, 0], [22, 3, 1], [22, 3, 2], [22, 3, 3]]","[0.0, 1.9950680364468014, 2.79996649261933]"
13,40,0.0625,3,3,1,2,4,4,moving,False,444.674580097199,True,23,False,4,"[[40, 0, 0], [40, 1, 0], [40, 1, 1], [40, 1, 2], [40, 1, 3], [16, 2, 0], [32, 2, 1], [2, 2, 2], [2, 2, 3], [2, 3, 0], [2, 3, 1], [12, 3, 2], [17, 3, 3], [17, 4, 0], [17, 4, 1], [17, 4, 2], [24, 4, 3]]","[0.0, 1.9950680364468067, 2.8816564619586593, 3.9815005898531726]"
14,40,0.0625,3,3,1,2,4,5,moving,False,1641.66510295868,True,24,False,4,"[[40, 0, 0], [40, 1, 0], [40, 1, 1], [40, 1, 2], [40, 1, 3], [16, 2, 0], [16, 2, 1], [32, 2, 2], [2, 2, 3], [12, 3, 0], [12, 3, 1], [12, 3, 2], [17, 3, 3], [30, 4, 0], [30, 4, 1], [30, 4, 2], [30, 4, 3], [30, 5, 0], [30, 5, 1], [30, 5, 2], [28, 5, 3]]","[0.0, 1.9950680364468014, 2.881656461901036, 3.592540798312595, 4.371732322092423]"
15,40,0.0625,3,3,1,2,4,6,moving,False,3502.63488602638,True,24,True,4,"[[40, 0, 0], [40, 1, 0], [40, 1, 1], [40, 1, 2], [40, 1, 3], [16, 2, 0], [32, 2, 1], [32, 2, 2], [2, 2, 3], [12, 3, 0], [17, 3, 1], [17, 3, 2], [17, 3, 3], [17, 4, 0], [17, 4, 1], [17, 4, 2], [24, 4, 3], [24, 5, 0], [24, 5, 1], [24, 5, 2], [24, 5, 3], [24, 6, 0], [8, 6, 1], [8, 6, 2], [8, 6, 3]]","[0.0, 1.9950680364468014, 2.881656461901036, 3.9815005897955493, 3.9815005897955493, 5.369827651406823]"
16,40,0.0625,3,3,1,7,2,1,moving,False,0.005836009979248,True,10,False,2,"[[40, 0, 0], [40, 1, 0], [40, 1, 1]]",[0.0]
