,num_nodes,p,dim,burnt_nodes,instance,lambda_d,D,T,algorithm,infeasible,runtime,not_interrupted,objective,is_upper_bound,D_max,defended_seq,distances
0,30,0.08333333333333333,3,1,0,2,3,1,moving,False,0.06429409980773926,True,4.0,False,3,"[[30, 0, 0], [30, 1, 0], [8, 1, 1], [8, 1, 2]]",[0.9864862763670811]
1,30,0.08333333333333333,3,1,0,2,3,2,moving,False,8.239240169525146,True,9.0,False,3,"[[30, 0, 0], [30, 1, 0], [30, 1, 1], [8, 1, 2], [1, 2, 0], [1, 2, 1], [1, 2, 2]]","[0.9864862763670811, 1.8814264612017055]"
2,30,0.08333333333333333,3,1,0,2,3,3,moving,False,35.01934790611267,True,11.0,False,3,"[[30, 0, 0], [30, 1, 0], [30, 1, 1], [30, 1, 2], [30, 2, 0], [16, 2, 1], [24, 2, 2], [23, 3, 0], [15, 3, 1], [9, 3, 2]]","[0.0, 0.7221347968691186, 2.8075579914360196]"
3,30,0.08333333333333333,3,1,0,2,3,4,moving,False,46.83876419067383,True,11.0,True,3,"[[30, 0, 0], [30, 1, 0], [16, 1, 1], [16, 1, 2], [16, 2, 0], [16, 2, 1], [24, 2, 2], [27, 3, 0], [15, 3, 1], [23, 3, 2], [23, 4, 0], [14, 4, 1], [12, 4, 2]]","[0.5526307030088439, 0.7221347968691185, 2.6534684142349, 3.6893233118876165]"
4,30,0.08333333333333333,3,1,0,7,2,1,moving,False,0.0015468597412109375,True,5.0,False,2,"[[30, 0, 0], [30, 1, 0], [30, 1, 1]]",[0.0]
5,30,0.08333333333333333,3,1,0,7,2,2,moving,False,0.010211944580078125,True,11.0,False,2,"[[30, 0, 0], [30, 1, 0], [30, 1, 1], [30, 2, 0], [16, 2, 1]]","[0.0, 1.9342074605309536]"
6,30,0.08333333333333333,3,1,0,7,2,3,moving,False,0.04775500297546387,True,15.0,False,2,"[[30, 0, 0], [30, 1, 0], [30, 1, 1], [16, 2, 0], [16, 2, 1], [16, 3, 0], [16, 3, 1]]","[0.0, 1.9342074605309536, 1.9342074605309536]"
7,30,0.08333333333333333,3,1,0,7,2,4,moving,False,0.18364500999450684,True,19.0,False,2,"[[30, 0, 0], [30, 1, 0], [30, 1, 1], [16, 2, 0], [16, 2, 1], [16, 3, 0], [16, 3, 1], [27, 4, 0], [27, 4, 1]]","[0.0, 1.9342074605309536, 1.9342074605309527, 3.7998596656616126]"
8,30,0.08333333333333333,3,1,0,7,2,5,moving,False,0.7500369548797607,True,23.0,False,2,"[[30, 0, 0], [30, 1, 0], [30, 1, 1], [16, 2, 0], [16, 2, 1], [16, 3, 0], [16, 3, 1], [16, 4, 0], [27, 4, 1], [27, 5, 0], [27, 5, 1]]","[0.0, 1.9342074605309536, 1.9342074605309536, 3.7998596656616135, 3.7998596656616135]"
9,30,0.08333333333333333,3,1,0,7,2,6,moving,False,2.2264351844787598,True,25.0,True,2,"[[30, 0, 0], [30, 1, 0], [30, 1, 1], [30, 2, 0], [16, 2, 1], [16, 3, 0], [16, 3, 1], [16, 4, 0], [27, 4, 1], [27, 5, 0], [27, 5, 1], [27, 6, 0], [27, 6, 1]]","[0.0, 1.9342074605309536, 1.9342074605309536, 3.7998596656616135, 3.7998596656616135, 3.7998596656616135]"
10,30,0.08333333333333333,3,1,1,2,3,1,moving,False,0.04728293418884277,True,3.0,False,3,"[[30, 0, 0], [30, 1, 0], [10, 1, 1], [20, 1, 2]]",[0.5249347153050685]
11,30,0.08333333333333333,3,1,1,2,3,2,moving,False,4.989240884780884,True,9.0,False,3,"[[30, 0, 0], [10, 1, 0], [20, 1, 1], [20, 1, 2], [1, 2, 0], [1, 2, 1], [23, 2, 2]]","[0.5249347153050685, 1.9935918131001018]"
12,30,0.08333333333333333,3,1,1,2,3,3,moving,False,29.97377610206604,True,14.0,False,3,"[[30, 0, 0], [10, 1, 0], [10, 1, 1], [20, 1, 2], [19, 2, 0], [19, 2, 1], [19, 2, 2], [4, 3, 0], [4, 3, 1], [4, 3, 2]]","[0.5249347153050685, 1.3120847680077903, 2.2848494921739597]"
13,30,0.08333333333333333,3,1,1,2,3,4,moving,False,116.03121304512024,True,16.0,False,3,"[[30, 0, 0], [20, 1, 0], [20, 1, 1], [10, 1, 2], [19, 2, 0], [19, 2, 1], [19, 2, 2], [8, 3, 0], [8, 3, 1], [8, 3, 2], [17, 4, 0], [15, 4, 1], [15, 4, 2]]","[0.6363007298553747, 1.3646955090696382, 2.1801229307269994, 3.668090875594813]"
14,30,0.08333333333333333,3,1,1,2,3,5,moving,False,237.36370301246643,True,17.0,True,3,"[[30, 0, 0], [20, 1, 0], [10, 1, 1], [10, 1, 2], [10, 2, 0], [19, 2, 1], [19, 2, 2], [19, 3, 0], [8, 3, 1], [8, 3, 2], [8, 4, 0], [21, 4, 1], [21, 4, 2], [29, 5, 0], [29, 5, 1], [29, 5, 2]]","[0.6363007298553776, 1.3646955090696413, 2.1801229307270025, 3.2808583895487287, 4.755199112106691]"
15,30,0.08333333333333333,3,1,1,7,2,1,moving,False,0.001519918441772461,True,4.0,False,2,"[[30, 0, 0], [30, 1, 0], [30, 1, 1]]",[0.0]
16,30,0.08333333333333333,3,1,1,7,2,2,moving,False,0.009638071060180664,True,13.0,False,2,"[[30, 0, 0], [30, 1, 0], [30, 1, 1], [30, 2, 0], [10, 2, 1]]","[0.0, 1.3217513948072512]"
17,30,0.08333333333333333,3,1,1,7,2,3,moving,False,0.0382230281829834,True,20.0,False,2,"[[30, 0, 0], [30, 1, 0], [30, 1, 1], [30, 2, 0], [10, 2, 1], [10, 3, 0], [10, 3, 1]]","[0.0, 1.3217513948072512, 1.3217513948072512]"
18,30,0.08333333333333333,3,1,1,7,2,4,moving,False,0.07716202735900879,True,25.0,False,2,"[[30, 0, 0], [30, 1, 0], [30, 1, 1], [30, 2, 0], [10, 2, 1], [10, 3, 0], [10, 3, 1], [10, 4, 0], [10, 4, 1]]","[0.0, 1.3217513948072512, 1.3217513948072512, 1.3217513948072512]"
