,num_nodes,p,dim,burnt_nodes,instance,lambda_d,D,T,algorithm,infeasible,runtime,not_interrupted,objective,is_upper_bound,D_max,defended_seq,distances
0,10,0.25,3,1,0,2,3,1,moving,False,0.00501704216003418,True,5.0,False,3,"[[10, 0, 0], [10, 1, 0], [10, 1, 1], [0, 1, 2]]",[0.911612269137401]
1,10,0.25,3,1,0,2,3,2,moving,False,0.12107586860656738,True,7.0,True,3,"[[10, 0, 0], [10, 1, 0], [10, 1, 1], [1, 1, 2], [7, 2, 0], [0, 2, 1], [0, 2, 2]]","[0.5571867508875263, 1.9486440952158568]"
2,10,0.25,3,1,0,7,1,1,moving,False,0.0003669261932373047,True,5.0,False,1,"[[10, 0, 0], [10, 1, 0]]",[0.0]
3,10,0.25,3,1,0,7,1,2,moving,False,0.0005931854248046875,True,9.0,True,1,"[[10, 0, 0], [10, 1, 0], [1, 2, 0]]","[0.0, 1.9501536281063423]"
4,10,0.25,3,1,1,2,3,1,moving,False,0.001049041748046875,True,6.0,False,3,"[[10, 0, 0], [10, 1, 0], [10, 1, 1], [10, 1, 2]]",[0.0]
5,10,0.25,3,1,1,2,3,2,moving,False,0.007145881652832031,True,9.0,True,3,"[[10, 0, 0], [10, 1, 0], [10, 1, 1], [10, 1, 2], [10, 2, 0], [10, 2, 1], [2, 2, 2]]","[0.0, 1.5867448143414575]"
6,10,0.25,3,1,1,7,1,1,moving,False,0.00039196014404296875,True,6.0,False,1,"[[10, 0, 0], [10, 1, 0]]",[0.0]
7,10,0.25,3,1,1,7,1,2,moving,False,0.0006411075592041016,True,10.0,True,1,"[[10, 0, 0], [10, 1, 0], [10, 2, 0]]","[0.0, 0.0]"
8,10,0.25,3,1,2,2,3,1,moving,False,0.023259878158569336,True,2.0,False,3,"[[10, 0, 0], [10, 1, 0], [10, 1, 1], [2, 1, 2]]",[0.841842643985104]
9,10,0.25,3,1,2,2,3,2,moving,False,0.2127377986907959,True,3.0,False,3,"[[10, 0, 0], [10, 1, 0], [10, 1, 1], [2, 1, 2], [2, 2, 0], [2, 2, 1], [5, 2, 2]]","[0.841842643985104, 1.7990663038606152]"
10,10,0.25,3,1,2,2,3,3,moving,False,1.7056159973144531,True,4.0,True,3,"[[10, 0, 0], [10, 1, 0], [10, 1, 1], [10, 1, 2], [10, 2, 0], [3, 2, 1], [4, 2, 2], [4, 3, 0], [4, 3, 1], [4, 3, 2]]","[0.0, 1.8237567265802235, 1.8237567265802235]"
11,10,0.25,3,1,2,7,2,1,moving,False,0.0006189346313476562,True,3.0,False,2,"[[10, 0, 0], [10, 1, 0], [10, 1, 1]]",[0.0]
12,10,0.25,3,1,2,7,2,2,moving,False,0.0020830631256103516,True,5.0,False,2,"[[10, 0, 0], [10, 1, 0], [10, 1, 1], [10, 2, 0], [3, 2, 1]]","[0.0, 1.7160049135612787]"
13,10,0.25,3,1,2,7,2,3,moving,False,0.005830049514770508,True,7.0,False,2,"[[10, 0, 0], [10, 1, 0], [10, 1, 1], [10, 2, 0], [10, 2, 1], [10, 3, 0], [3, 3, 1]]","[0.0, 0.0, 1.716004913561327]"
