,num_nodes,p,dim,burnt_nodes,instance,lambda_d,D,T,algorithm,infeasible,runtime,not_interrupted,objective,is_upper_bound,D_max,defended_seq,distances
0,40,0.0625,3,1,0,2,4,1,moving,False,0.542025089263916,True,3,False,4,"[[40, 0, 0], [40, 1, 0], [40, 1, 1], [40, 1, 2], [14, 1, 3]]",[0.45924120809419094]
1,40,0.0625,3,1,0,2,4,2,moving,False,54.7669348716736,True,4,False,4,"[[40, 0, 0], [40, 1, 0], [8, 1, 1], [8, 1, 2], [8, 1, 3], [35, 2, 0], [15, 2, 1], [15, 2, 2], [15, 2, 3]]","[0.34566610132719233, 1.9783355075684619]"
2,40,0.0625,3,1,0,2,4,3,moving,False,171.953007221222,True,4,True,4,"[[40, 0, 0], [40, 1, 0], [40, 1, 1], [40, 1, 2], [8, 1, 3], [35, 2, 0], [35, 2, 1], [35, 2, 2], [15, 2, 3], [23, 3, 0], [23, 3, 1], [23, 3, 2], [23, 3, 3]]","[0.3456661013274237, 1.9783355075686933, 2.66290244740009]"
3,40,0.0625,3,1,0,7,2,1,moving,False,0.002177000045776,True,3,False,2,"[[40, 0, 0], [40, 1, 0], [40, 1, 1]]",[0.0]
4,40,0.0625,3,1,0,7,2,2,moving,False,0.018588066101074,True,6,False,2,"[[40, 0, 0], [40, 1, 0], [40, 1, 1], [40, 2, 0], [8, 2, 1]]","[0.0, 1.2098313546451895]"
5,40,0.0625,3,1,0,7,2,3,moving,False,0.100120067596436,True,12,False,2,"[[40, 0, 0], [40, 1, 0], [40, 1, 1], [8, 2, 0], [8, 2, 1], [8, 3, 0], [8, 3, 1]]","[0.0, 1.209831354645173, 1.209831354645173]"
6,40,0.0625,3,1,0,7,2,4,moving,False,0.653813123703003,True,21,False,2,"[[40, 0, 0], [40, 1, 0], [40, 1, 1], [40, 2, 0], [40, 2, 1], [40, 3, 0], [40, 3, 1], [14, 4, 0], [2, 4, 1]]","[0.0, 0.0, 0.0, 3.0840152794956364]"
7,40,0.0625,3,1,0,7,2,5,moving,False,3.1151978969574,True,28,False,2,"[[40, 0, 0], [40, 1, 0], [40, 1, 1], [14, 2, 0], [14, 2, 1], [14, 3, 0], [14, 3, 1], [36, 4, 0], [36, 4, 1], [36, 5, 0], [36, 5, 1]]","[0.0, 1.6073442283296684, 1.6073442283296666, 3.8246581129111252, 3.8246581129111252]"
8,40,0.0625,3,1,0,7,2,6,moving,False,11.4537551403046,True,34,False,2,"[[40, 0, 0], [40, 1, 0], [40, 1, 1], [40, 2, 0], [40, 2, 1], [40, 3, 0], [14, 3, 1], [36, 4, 0], [36, 4, 1], [36, 5, 0], [36, 5, 1], [36, 6, 0], [36, 6, 1]]","[0.0, 0.0, 1.6073442283296684, 3.8246581129111252, 3.8246581129111217, 3.8246581129111217]"
9,40,0.0625,3,1,0,7,2,7,moving,False,47.7384729385376,True,36,True,2,"[[40, 0, 0], [40, 1, 0], [40, 1, 1], [14, 2, 0], [14, 2, 1], [14, 3, 0], [14, 3, 1], [14, 4, 0], [36, 4, 1], [36, 5, 0], [36, 5, 1], [18, 6, 0], [18, 6, 1], [19, 7, 0], [19, 7, 1]]","[0.0, 1.6073442283296684, 1.6073442283296684, 3.824658112911127, 3.824658112911127, 5.606087356018938, 6.163042329434713]"
